TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE,PRICE_B,BOROUGH_encoded,BUILDING_CLASS_CATEGORY_encoded,BUILDING_CLASS_AT_PRESENT_encoded,TAX_CLASS_AT_TIME_OF_SALE_encoded
1,384,1152,1901,1375000,1.0,1.0,0.0,5.0,1.0
1,384,1152,1901,1375000,1.0,1.0,0.0,5.0,1.0
1,1665,3200,1910,1510000,1.0,1.0,0.0,8.0,1.0
1,1699,3536,1901,1595790,1.0,1.0,0.0,8.0,1.0
1,2000,3360,1899,1000000,1.0,1.0,0.0,4.0,1.0
2,1231,3240,1899,1550000,1.0,1.0,1.0,9.0,1.0
2,1799,3600,1899,1670000,1.0,1.0,1.0,9.0,1.0
2,1799,3600,1899,1310000,1.0,1.0,1.0,9.0,1.0
2,1749,2625,1910,850000,1.0,1.0,1.0,11.0,1.0
2,1615,3840,1899,500000,1.0,1.0,1.0,11.0,1.0
2,1472,3400,1901,1550000,1.0,1.0,1.0,12.0,1.0
2,1499,3000,1899,1625000,1.0,1.0,1.0,9.0,1.0
3,1615,3328,1909,1730000,1.0,1.0,2.0,13.0,1.0
3,1699,2596,1910,60000,0.0,1.0,2.0,13.0,1.0
3,1699,3400,1910,1925000,1.0,1.0,2.0,13.0,1.0
3,1699,3400,1910,1700000,1.0,1.0,2.0,13.0,1.0
3,1824,3320,2000,1920000,1.0,1.0,2.0,13.0,1.0
1,2498,2115,1920,1000000,1.0,1.0,27.0,47.0,3.0
1,1856,2620,1890,1855000,1.0,1.0,27.0,49.0,3.0
1,2523,4529,1910,816666,1.0,1.0,27.0,50.0,3.0
3,1345,2858,1900,1319700,1.0,1.0,1.0,81.0,1.0
2,1682,3000,1899,424797,0.0,1.0,1.0,9.0,1.0
3,1926,3864,2002,10,0.0,1.0,2.0,13.0,1.0
3,2018,3680,1901,1533000,1.0,1.0,2.0,13.0,1.0
2,1460,2460,1910,1800000,1.0,1.0,16.0,41.0,3.0
1,1898,3876,1901,950000,1.0,1.0,0.0,8.0,1.0
1,1998,4730,1901,10,0.0,1.0,0.0,8.0,1.0
1,1998,4730,1901,72500,0.0,1.0,0.0,8.0,1.0
1,1499,2307,1926,1950000,1.0,1.0,0.0,8.0,1.0
2,1199,3360,1901,15000,0.0,1.0,1.0,9.0,1.0
2,1499,2340,1899,1150000,1.0,1.0,1.0,11.0,1.0
2,1399,1992,1945,10,0.0,1.0,1.0,11.0,1.0
2,1649,2796,1901,1700000,1.0,1.0,1.0,9.0,1.0
3,1499,2180,1910,1700000,1.0,1.0,2.0,13.0,1.0
1,2500,4200,1926,1500000,1.0,1.0,16.0,41.0,3.0
2,1088,3260,1899,1512500,1.0,1.0,1.0,12.0,1.0
1,1219,1224,1920,635000,1.0,1.0,0.0,5.0,1.0
1,1219,1224,1920,307242,0.0,1.0,0.0,5.0,1.0
1,5524,3802,1910,1120000,1.0,1.0,16.0,45.0,3.0
1,5524,3802,1910,1500000,1.0,1.0,16.0,45.0,3.0
2,2008,4792,1920,10,0.0,1.0,16.0,45.0,3.0
2,1070,1656,1901,700000,1.0,1.0,1.0,11.0,1.0
2,1599,2500,1900,1700000,1.0,1.0,1.0,11.0,1.0
3,1704,2592,1901,816425,1.0,1.0,2.0,13.0,1.0
2,1600,2304,1901,940000,1.0,1.0,1.0,11.0,1.0
2,1667,2544,1899,911460,1.0,1.0,1.0,12.0,1.0
1,1622,1587,1899,140000,0.0,2.0,0.0,1.0,1.0
1,3525,1764,1899,420000,0.0,2.0,0.0,1.0,1.0
1,2356,2047,1901,127000,0.0,2.0,0.0,1.0,1.0
1,2329,1431,1901,273796,0.0,2.0,0.0,1.0,1.0
1,2329,1431,1901,231244,0.0,2.0,0.0,1.0,1.0
1,1209,1048,1901,0,0.0,2.0,0.0,1.0,1.0
1,1209,1048,1901,290000,0.0,2.0,0.0,1.0,1.0
1,922,1248,1901,0,0.0,2.0,0.0,1.0,1.0
2,2000,2400,1993,0,0.0,2.0,1.0,9.0,1.0
2,2361,2394,1995,0,0.0,2.0,1.0,9.0,1.0
2,2265,2394,1995,530000,1.0,2.0,1.0,9.0,1.0
3,3314,2800,1899,400000,0.0,2.0,1.0,81.0,1.0
2,1556,1494,1899,305000,0.0,2.0,1.0,11.0,1.0
3,1620,3240,1931,700000,1.0,2.0,1.0,81.0,1.0
2,1790,2340,1998,0,0.0,2.0,1.0,9.0,1.0
2,1800,1944,1910,500000,1.0,2.0,1.0,11.0,1.0
2,1800,1944,1910,875025,1.0,2.0,1.0,11.0,1.0
2,741,2133,2006,540625,1.0,2.0,1.0,9.0,1.0
2,1429,1872,1910,250000,0.0,2.0,1.0,11.0,1.0
2,3732,2901,2000,494000,1.0,2.0,1.0,10.0,1.0
2,1258,2340,1901,240000,0.0,2.0,1.0,12.0,1.0
2,1712,1580,1901,200000,0.0,2.0,1.0,11.0,1.0
2,1380,2805,1901,18000,0.0,2.0,1.0,9.0,1.0
2,1420,2805,1901,290000,0.0,2.0,1.0,12.0,1.0
2,1420,2805,1901,165000,0.0,2.0,1.0,12.0,1.0
2,1420,2805,1901,0,0.0,2.0,1.0,12.0,1.0
3,1440,2880,1899,365000,0.0,2.0,2.0,13.0,1.0
3,1784,2302,2004,0,0.0,2.0,2.0,13.0,1.0
3,1784,2302,2004,545000,1.0,2.0,2.0,13.0,1.0
3,3525,2160,1899,299000,0.0,2.0,2.0,13.0,1.0
3,1650,1344,1910,321065,0.0,2.0,2.0,13.0,1.0
3,1638,3240,2007,0,0.0,2.0,2.0,13.0,1.0
3,2320,2008,1910,0,0.0,2.0,2.0,13.0,1.0
3,2880,3132,1910,0,0.0,2.0,2.0,13.0,1.0
3,1650,3316,2005,600000,1.0,2.0,2.0,13.0,1.0
3,1331,2244,1901,0,0.0,2.0,2.0,13.0,1.0
3,1250,2730,2003,689399,1.0,2.0,2.0,13.0,1.0
3,1250,2730,2003,460000,0.0,2.0,2.0,13.0,1.0
3,1334,2936,2005,0,0.0,2.0,2.0,13.0,1.0
3,1269,2936,2005,0,0.0,2.0,2.0,13.0,1.0
3,1269,2936,2005,0,0.0,2.0,2.0,13.0,1.0
0,0,0,1935,40000,0.0,2.0,8.0,17.0,2.0
0,0,0,1935,40000,0.0,2.0,8.0,17.0,2.0
0,0,0,1941,60000,0.0,2.0,8.0,17.0,2.0
2,3521,3413,1925,0,0.0,2.0,16.0,44.0,3.0
2,4024,1584,1931,0,0.0,2.0,16.0,40.0,3.0
1,1578,3154,1997,375000,0.0,2.0,19.0,24.0,3.0
1,3852,3852,1931,0,0.0,2.0,22.0,18.0,3.0
1,5490,4984,1912,800000,1.0,2.0,22.0,18.0,3.0
1,1785,1018,1945,325000,0.0,2.0,0.0,5.0,1.0
1,1786,1018,1945,127000,0.0,2.0,0.0,5.0,1.0
1,2759,1998,1945,400000,0.0,2.0,0.0,5.0,1.0
1,3010,1690,1950,0,0.0,2.0,0.0,8.0,1.0
1,1937,1690,1950,0,0.0,2.0,0.0,8.0,1.0
1,1918,1024,1945,215982,0.0,2.0,0.0,2.0,1.0
2,2465,2112,1950,599000,1.0,2.0,0.0,80.0,1.0
2,2465,2112,1950,326000,0.0,2.0,0.0,80.0,1.0
1,2662,2100,1950,0,0.0,2.0,0.0,8.0,1.0
1,1900,1254,1940,350000,0.0,2.0,0.0,5.0,1.0
1,1900,1254,1940,317200,0.0,2.0,0.0,5.0,1.0
1,1900,1254,1940,340000,0.0,2.0,0.0,5.0,1.0
1,2350,1799,1940,95000,0.0,2.0,0.0,5.0,1.0
1,2350,1799,1940,48550,0.0,2.0,0.0,5.0,1.0
1,1900,1738,1940,305000,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,325000,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,68571,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,80000,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,12000,0.0,2.0,0.0,5.0,1.0
1,1900,1567,1940,345000,0.0,2.0,0.0,5.0,1.0
1,1900,1681,1940,325000,0.0,2.0,0.0,5.0,1.0
1,1900,1681,1940,335000,0.0,2.0,0.0,5.0,1.0
1,1728,1280,1955,374000,0.0,2.0,0.0,5.0,1.0
1,2300,1782,1955,293944,0.0,2.0,0.0,5.0,1.0
1,2300,1782,1955,500,0.0,2.0,0.0,5.0,1.0
1,2217,2430,1930,10,0.0,2.0,0.0,5.0,1.0
1,2550,1920,1930,315000,0.0,2.0,0.0,5.0,1.0
