BOROUGH,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,SALE_PRICE,PRICE_B
1,01 ONE FAMILY DWELLINGS                    ,A5,1,384,1152,1901,1,1375000,1.0
1,01 ONE FAMILY DWELLINGS                    ,A5,1,384,1152,1901,1,1375000,1.0
1,01 ONE FAMILY DWELLINGS                    ,A9,1,1665,3200,1910,1,1510000,1.0
1,01 ONE FAMILY DWELLINGS                    ,A9,1,1699,3536,1901,1,1595790,1.0
1,01 ONE FAMILY DWELLINGS                    ,A4,1,2000,3360,1899,1,1000000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B1,2,1231,3240,1899,1,1550000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B1,2,1799,3600,1899,1,1670000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B1,2,1799,3600,1899,1,1310000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B3,2,1749,2625,1910,1,850000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B3,2,1615,3840,1899,1,500000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B9,2,1472,3400,1901,1,1550000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B1,2,1499,3000,1899,1,1625000,1.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1615,3328,1909,1,1730000,1.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1699,2596,1910,1,60000,0.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1699,3400,1910,1,1925000,1.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1699,3400,1910,1,1700000,1.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1824,3320,2000,1,1920000,1.0
1,37 RELIGIOUS FACILITIES                    ,M1,1,2498,2115,1920,4,1000000,1.0
1,37 RELIGIOUS FACILITIES                    ,M4,1,1856,2620,1890,4,1855000,1.0
1,37 RELIGIOUS FACILITIES                    ,M9,1,2523,4529,1910,4,816666,1.0
1,02 TWO FAMILY DWELLINGS                    ,S2,3,1345,2858,1900,1,1319700,1.0
1,02 TWO FAMILY DWELLINGS                    ,B1,2,1682,3000,1899,1,424797,0.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1926,3864,2002,1,10,0.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,2018,3680,1901,1,1533000,1.0
1,22 STORE BUILDINGS                         ,K2,2,1460,2460,1910,4,1800000,1.0
1,01 ONE FAMILY DWELLINGS                    ,A9,1,1898,3876,1901,1,950000,1.0
1,01 ONE FAMILY DWELLINGS                    ,A9,1,1998,4730,1901,1,10,0.0
1,01 ONE FAMILY DWELLINGS                    ,A9,1,1998,4730,1901,1,72500,0.0
1,01 ONE FAMILY DWELLINGS                    ,A9,1,1499,2307,1926,1,1950000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B1,2,1199,3360,1901,1,15000,0.0
1,02 TWO FAMILY DWELLINGS                    ,B3,2,1499,2340,1899,1,1150000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B3,2,1399,1992,1945,1,10,0.0
1,02 TWO FAMILY DWELLINGS                    ,B1,2,1649,2796,1901,1,1700000,1.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1499,2180,1910,1,1700000,1.0
1,22 STORE BUILDINGS                         ,K2,1,2500,4200,1926,4,1500000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B9,2,1088,3260,1899,1,1512500,1.0
1,01 ONE FAMILY DWELLINGS                    ,A5,1,1219,1224,1920,1,635000,1.0
1,01 ONE FAMILY DWELLINGS                    ,A5,1,1219,1224,1920,1,307242,0.0
1,22 STORE BUILDINGS                         ,K9,1,5524,3802,1910,4,1120000,1.0
1,22 STORE BUILDINGS                         ,K9,1,5524,3802,1910,4,1500000,1.0
1,22 STORE BUILDINGS                         ,K9,2,2008,4792,1920,4,10,0.0
1,02 TWO FAMILY DWELLINGS                    ,B3,2,1070,1656,1901,1,700000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B3,2,1599,2500,1900,1,1700000,1.0
1,03 THREE FAMILY DWELLINGS                  ,C0,3,1704,2592,1901,1,816425,1.0
1,02 TWO FAMILY DWELLINGS                    ,B3,2,1600,2304,1901,1,940000,1.0
1,02 TWO FAMILY DWELLINGS                    ,B9,2,1667,2544,1899,1,911460,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1622,1587,1899,1,140000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3525,1764,1899,1,420000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2356,2047,1901,1,127000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2329,1431,1901,1,273796,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2329,1431,1901,1,231244,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1209,1048,1901,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1209,1048,1901,1,290000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,922,1248,1901,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2000,2400,1993,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2361,2394,1995,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2265,2394,1995,1,530000,1.0
2,02 TWO FAMILY DWELLINGS                    ,S2,3,3314,2800,1899,1,400000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,1556,1494,1899,1,305000,0.0
2,02 TWO FAMILY DWELLINGS                    ,S2,3,1620,3240,1931,1,700000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1790,2340,1998,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,1800,1944,1910,1,500000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,1800,1944,1910,1,875025,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,741,2133,2006,1,540625,1.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,1429,1872,1910,1,250000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,3732,2901,2000,1,494000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,1258,2340,1901,1,240000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,1712,1580,1901,1,200000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1380,2805,1901,1,18000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,1420,2805,1901,1,290000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,1420,2805,1901,1,165000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,1420,2805,1901,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1440,2880,1899,1,365000,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1784,2302,2004,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1784,2302,2004,1,545000,1.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,3525,2160,1899,1,299000,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1650,1344,1910,1,321065,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1638,3240,2007,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2320,2008,1910,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2880,3132,1910,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1650,3316,2005,1,600000,1.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1331,2244,1901,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1250,2730,2003,1,689399,1.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1250,2730,2003,1,460000,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1334,2936,2005,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1269,2936,2005,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1269,2936,2005,1,0,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1935,2,40000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1935,2,40000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1941,2,60000,0.0
2,22 STORE BUILDINGS                         ,K5,2,3521,3413,1925,4,0,0.0
2,22 STORE BUILDINGS                         ,K1,2,4024,1584,1931,4,0,0.0
2,27 FACTORIES                               ,F5,1,1578,3154,1997,4,375000,0.0
2,30 WAREHOUSES                              ,E1,1,3852,3852,1931,4,0,0.0
2,30 WAREHOUSES                              ,E1,1,5490,4984,1912,4,800000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1785,1018,1945,1,325000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1786,1018,1945,1,127000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2759,1998,1945,1,400000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A9,1,3010,1690,1950,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A9,1,1937,1690,1950,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,1918,1024,1945,1,215982,0.0
2,01 ONE FAMILY DWELLINGS                    ,S1,2,2465,2112,1950,1,599000,1.0
2,01 ONE FAMILY DWELLINGS                    ,S1,2,2465,2112,1950,1,326000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A9,1,2662,2100,1950,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1254,1940,1,350000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1254,1940,1,317200,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1254,1940,1,340000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2350,1799,1940,1,95000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2350,1799,1940,1,48550,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1738,1940,1,305000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2258,2430,1930,1,325000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2258,2430,1930,1,68571,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2258,2430,1930,1,80000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2258,2430,1930,1,12000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1567,1940,1,345000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1681,1940,1,325000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1681,1940,1,335000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1728,1280,1955,1,374000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2300,1782,1955,1,293944,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2300,1782,1955,1,500,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2217,2430,1930,1,10,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2550,1920,1930,1,315000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1681,1930,1,380000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1795,1935,1,10,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1775,1585,1935,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1406,1945,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1900,1406,1945,1,340000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2000,2220,1950,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2500,1736,1935,1,430000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2025,1280,1920,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2000,1280,1920,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2300,1260,1950,1,245000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1782,1950,1,300000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1520,1440,1940,1,251000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1863,1950,1,180000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1713,1505,1965,1,370000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2701,1096,1910,1,420000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1260,1950,1,356000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1690,1955,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2850,1056,1940,1,483000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2850,1056,1940,1,182000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1368,1955,1,370000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1714,1955,1,455000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1714,1955,1,247000,0.0
